COUNTY,DOSAGE_UNIT_2010,DOSAGE_UNIT_2011,DOSAGE_UNIT_2012
FINNEY,902500.0,1041060.0,1163800.0
KINGMAN,368030.0,358390.0,403070.0
WYANDOTTE,5644570.0,6245310.0,6813340.0
MONTGOMERY,2253070.0,2416060.0,2451099.0
JOHNSON,26778821.0,29641798.0,30772594.0
DOUGLAS,3254600.0,3467100.0,3629620.0
CHEROKEE,997240.0,963910.0,976800.0
ATCHISON,853210.0,891400.0,940820.0
SEDGWICK,24465680.0,26199985.0,28113850.0
CRAWFORD,1922120.0,2155940.0,2289070.0
SALINE,2695330.0,2951770.0,3253700.0
BOURBON,846370.0,876430.0,948220.0
HARPER,216580.0,281630.0,295840.0
FRANKLIN,1076900.0,1260300.0,1330860.0
MIAMI,1251000.0,1504260.0,1680700.0
FORD,994940.0,1061330.0,1185560.0
SHAWNEE,6583800.0,7220500.0,7462080.0
ELLSWORTH,238400.0,232840.0,258730.0
OSAGE,302960.0,305500.0,312930.0
BROWN,631710.0,703750.0,858390.0
MORTON,305790.0,398650.0,402460.0
COWLEY,1789800.0,1903720.0,1949900.0
BUTLER,3289360.0,3656650.0,4015050.0
GRAHAM,104800.0,117000.0,134300.0
WASHINGTON,89530.0,104160.0,114330.0
HARVEY,1419860.0,1485400.0,1606950.0
LEAVENWORTH,5385230.0,6146640.0,7400420.0
RILEY,2126000.0,2368160.0,2330910.0
GEARY,1139690.0,1247700.0,1288100.0
MCPHERSON,1137530.0,1241900.0,1356110.0
SUMNER,968520.0,1082080.0,1227250.0
RENO,3048540.0,3493880.0,3842420.0
ELLIS,1228800.0,1319500.0,1330400.0
LYON,993640.0,1075660.0,1165600.0
BARTON,1409810.0,1504120.0,1549960.0
NEOSHO,883240.0,934120.0,1069550.0
GRANT,164600.0,206230.0,227540.0
ANDERSON,210260.0,245200.0,265700.0
OTTAWA,177900.0,203600.0,232300.0
PRATT,888400.0,959100.0,955000.0
SEWARD,828000.0,965980.0,958690.0
THOMAS,446100.0,481400.0,526330.0
GREENWOOD,308700.0,371420.0,455970.0
MARION,337600.0,352040.0,388020.0
LABETTE,1304730.0,1482430.0,1657490.0
LINN,284695.0,352695.0,408895.0
COFFEY,493100.0,497090.0,581930.0
CHAUTAUQUA,97240.0,115750.0,124520.0
ALLEN,792600.0,944900.0,1014000.0
JACKSON,306280.0,392670.0,454830.0
CLOUD,477100.0,509380.0,570470.0
SHERMAN,364100.0,382540.0,376130.0
MARSHALL,403460.0,425020.0,457720.0
ROOKS,181400.0,185130.0,180960.0
NORTON,266800.0,304900.0,320600.0
REPUBLIC,253960.0,304620.0,286420.0
POTTAWATOMIE,414200.0,450620.0,507170.0
RICE,315140.0,347790.0,383810.0
WILSON,314800.0,387930.0,486860.0
NESS,113610.0,135640.0,131990.0
PAWNEE,264800.0,301100.0,334600.0
PHILLIPS,170700.0,183600.0,203920.0
WOODSON,77260.0,110310.0,128500.0
HASKELL,50200.0,67500.0,71700.0
NEMAHA,383900.0,431390.0,473960.0
KIOWA,0.0,1500.0,39090.0
RAWLINS,61960.0,73400.0,85500.0
JEWELL,50120.0,63100.0,71200.0
TREGO,149400.0,174040.0,208540.0
GRAY,124300.0,117980.0,143500.0
RUSSELL,243260.0,277500.0,280620.0
DICKINSON,538620.0,615160.0,658720.0
SHERIDAN,69800.0,71700.0,70400.0
MEADE,82300.0,88960.0,103900.0
SMITH,162100.0,162300.0,173800.0
LANE,70100.0,71420.0,34590.0
GREELEY,67030.0,80100.0,81400.0
BARBER,199300.0,223890.0,212310.0
CHEYENNE,126340.0,131700.0,174080.0
MITCHELL,160400.0,194400.0,213100.0
CLARK,179550.0,222960.0,242070.0
GOVE,65700.0,79700.0,94400.0
DECATUR,116600.0,110300.0,88400.0
JEFFERSON,226100.0,257020.0,282830.0
WALLACE,0.0,0.0,15800.0
RUSH,61500.0,64100.0,66660.0
HODGEMAN,80400.0,100500.0,96200.0
MORRIS,136120.0,143960.0,152320.0
ELK,107320.0,141630.0,165840.0
EDWARDS,54300.0,52600.0,61000.0
LINCOLN,73920.0,95200.0,131460.0
STANTON,65700.0,68580.0,79730.0
CLAY,407300.0,471100.0,501480.0
OSBORNE,133200.0,154500.0,163540.0
LOGAN,62700.0,74900.0,94700.0
STEVENS,93200.0,110400.0,98950.0
HAMILTON,58800.0,72500.0,68500.0
KEARNY,59230.0,72830.0,87890.0
SCOTT,215700.0,248860.0,305560.0
COMANCHE,150500.0,169270.0,156500.0
WICHITA,41060.0,50830.0,54580.0
WABAUNSEE,0.0,100.0,300.0
